"sample","pond","treatment","day","date","sample_vol_L","biomass_mg_L","C_ug","N_ug","t15N_ug","N_atom_perc","preN_atom_perc","add15N_perc","dorset_pond"
"phytoplankton",5,"A",11.92,"27/07/13",0.0313124270264686,14.17,171.2715,11.5308,0.0680440840056186,0.590107225913367,0.3667854814391,0.223321744474267,10
"phytoplankton",5,"A",15.92,"31/07/13",0.0208879090538276,6.08,38.0618,4.1131,0.0212985661985142,0.517822717622091,0.3667854814391,0.151037236182991,10
"phytoplankton",5,"A",23.73,"08/08/13",0.0626523307819733,4.11,88.9282,8.3487,0.039529266592515,0.473478105483668,0.3667854814391,0.106692624044568,10
"phytoplankton",5,"A",28.92,"13/08/13",0.0835793472082453,4.33,140.1342,12.2528,0.0557994971171802,0.455402007028436,0.3667854814391,0.0886165255893359,10
"phytoplankton",5,"A",53.01,"06/09/13",0.0260690934867129,4.07,56.7585,6.3109,0.0265789632110761,0.421159631923752,0.3667854814391,0.0543741504846522,10
"zooplankton",5,"A",0.26,"16/07/13",4.00120360154616,0.0565,119.37,25.93,0.0963149905866431,0.371442308471435,0.367869604948758,0.00357270352267702,10
"zooplankton",5,"A",0.76,"16/07/13",3.99750718391186,0.1001,202.26,34.72,0.155698659466354,0.448440839476826,0.367869604948758,0.0805712345280684,10
"zooplankton",5,"A",1.26,"17/07/13",3.13847613186045,0.1347,235.74,43.61,0.222497829164288,0.510199103793368,0.367869604948758,0.14232949884461,10
"zooplankton",5,"A",1.76,"17/07/13",1.99025272771585,0.1243,141.78,26.05,0.120122995914648,0.461124744394042,0.367869604948758,0.0932551394452835,10
"zooplankton",5,"A",2.26,"18/07/13",2.80013555875625,0.2035,335.06,59.49,0.354004967738536,0.595066343483839,0.367869604948758,0.227196738535081,10
"zooplankton",5,"A",3.26,"19/07/13",4.00371851223409,0.0505,108.69,22.18,0.155696416797981,0.701967614057625,0.367869604948758,0.334098009108867,10
"zooplankton",5,"A",4.26,"20/07/13",3.9981330303911,0.0693,153.85,31.78,0.216095506997596,0.679973275637496,0.367869604948758,0.312103670688738,10
"zooplankton",5,"A",6.26,"22/07/13",4.00134624733555,0.0374,81.18,17.12,0.122307749897588,0.71441442697189,0.367869604948758,0.346544822023132,10
"zooplankton",5,"A",11.26,"27/07/13",2.42116030588166,0.4012,455.336,75.72,0.634710234946648,0.838233273833397,0.367869604948758,0.470363668884639,10
"zooplankton",5,"A",15.26,"31/07/13",4.00887332036236,0.1049,214.45,49.98,0.356882501513422,0.714050623276155,0.367869604948758,0.346181018327397,10
"zooplankton",5,"A",23.26,"08/08/13",3.13263633718497,0.1263,189.26,37.1,0.227903336252357,0.614294706879668,0.367869604948758,0.24642510193091,10
"zooplankton",5,"A",28.26,"13/08/13",3.99965973749378,0.0604,118.47,25.39,0.131914970987953,0.519554828625257,0.367869604948758,0.151685223676499,10
"zooplankton",5,"A",52.26,"06/09/13",3.99956612342089,0.0516,85.104,18.997,0.0830857902638632,0.43736269023458,0.367869604948758,0.0694930852858222,10
"phytoplankton",6,"A",0.00999999999999979,"15/07/13",0.0313148401064931,12.78,153.2424,17.2928,0.0633696383661143,0.366450999063855,0.365773669937484,0.000677329126371418,16
"phytoplankton",6,"A",0.88,"16/07/13",0.024366039670652,15.14,134.028,18.4189,0.157518276186072,0.855199149710741,0.365773669937484,0.489425479773257,16
"phytoplankton",6,"A",1.24,"16/07/13",0.020875270970159,14.17,89.7366,10.3031,0.143628404841548,1.39403096972317,0.365773669937484,1.02825729978569,16
"phytoplankton",6,"A",1.77,"17/07/13",0.0313216637889143,14,157.4097,18.1764,0.357457513322213,1.96660237077867,0.365773669937484,1.60082870084118,16
"phytoplankton",6,"A",2.1,"17/07/13",0.0313301217092522,13.83,151.3351,17.5996,0.329763656347916,1.87369972242503,0.365773669937484,1.50792605248755,16
"phytoplankton",6,"A",2.85,"18/07/13",0.0313159071155807,14.67,147.8644,18.3872,0.326317661846171,1.77470012751355,0.365773669937484,1.40892645757607,16
"phytoplankton",6,"A",3.93,"19/07/13",0.0313239480224628,13.75,158.8174,18.2119,0.27602209805186,1.51561395599504,0.365773669937484,1.14984028605755,16
"phytoplankton",6,"A",4.95,"20/07/13",0.0208723433051155,14.67,109.6527,11.107,0.135915588234585,1.22369306054367,0.365773669937484,0.857919390606185,16
"phytoplankton",6,"A",7.05,"22/07/13",0.0208843201097215,15.83,96.4358,11.8318,0.107766774617959,0.910823159772467,0.365773669937484,0.545049489834983,16
"phytoplankton",6,"A",11.97,"27/07/13",0.0313198074926866,12.5,157.5496,16.5948,0.103234841030458,0.622091504751233,0.365773669937484,0.256317834813749,16
"phytoplankton",6,"A",15.98,"31/07/13",0.0208843453478816,11.08,74.0632,9.4244,0.0498783579290349,0.529247038846345,0.365773669937484,0.163473368908861,16
"phytoplankton",6,"A",23.74,"08/08/13",0.0469650512466074,8.17,122.3177,17.8342,0.0778403821191369,0.436466912556419,0.365773669937484,0.0706932426189353,16
"phytoplankton",6,"A",28.96,"13/08/13",0.046957631852423,7.56,133.53,17.5629,0.0778482399409686,0.443253904201291,0.365773669937484,0.0774802342638075,16
"phytoplankton",6,"A",53.01,"06/09/13",0.0730361785401419,2.24,83.7258,11.5787,0.0465744023817579,0.402242068468463,0.365773669937484,0.0364683985309794,16
"zooplankton",6,"A",0.26,"16/07/13",2.51268029205817,0.0992,140.26,26.87,0.0988671557012032,0.36794624377076,0.367584945434772,0.000361298335988358,16
"zooplankton",6,"A",0.76,"16/07/13",3.99787362661082,0.0412,80.427,17.811,0.0703537202882473,0.395001517535497,0.367584945434772,0.027416572100725,16
"zooplankton",6,"A",1.26,"17/07/13",2.0042723347321,0.2349,265.18,52.73,0.203507297602678,0.385942153617822,0.367584945434772,0.0183572081830508,16
"zooplankton",6,"A",1.76,"17/07/13",2.6308399782026,0.1236,170.67,37.85,0.151393145773448,0.399981891079124,0.367584945434772,0.0323969456443524,16
"zooplankton",6,"A",2.26,"18/07/13",2.4982627817104,0.2449,338.9,69.9,0.291697462985874,0.41730681399982,0.367584945434772,0.0497218685650484,16
"zooplankton",6,"A",3.26,"19/07/13",3.99755028862811,0.0952,198.612,43.237,0.234704806423287,0.542833236402356,0.367584945434772,0.175248290967584,16
"zooplankton",6,"A",4.26,"20/07/13",4.09026159026159,0.132,295.41,63.17,0.286597994453929,0.453693200022049,0.367584945434772,0.0861082545872778,16
"zooplankton",6,"A",6.26,"22/07/13",4.04680693841605,0.1306,280.55,60.892,0.32156559870592,0.528091701218419,0.367584945434772,0.160506755783647,16
"zooplankton",6,"A",11.26,"27/07/13",2.17169524636423,0.17,200.85,40.02,0.202808539481314,0.506767964720924,0.367584945434772,0.139183019286152,16
"zooplankton",6,"A",15.26,"31/07/13",3.00861734381064,0.1279,216.72,42.79,0.224173203937764,0.523891572651937,0.367584945434772,0.156306627217166,16
"zooplankton",6,"A",23.26,"08/08/13",2.10109066443259,0.2928,339.41,67.41,0.331949018904878,0.49243290150553,0.367584945434772,0.124847956070759,16
"zooplankton",6,"A",28.26,"13/08/13",2.54024442923823,0.1366,185.8,39.87,0.19211097196211,0.481843421023602,0.367584945434772,0.11425847558883,16
"zooplankton",6,"A",52.26,"06/09/13",4.00034234851078,0.0508,107.05,23.37,0.100862285541164,0.43158872717657,0.367584945434772,0.0640037817417987,16
"phytoplankton",7,"A",0.00999999999999979,"15/07/13",0.00870082589677987,55.8,200.2391,9.6941,0.0357231557499623,0.368504097852944,0.367208352996289,0.00129574485665557,18
"phytoplankton",7,"A",0.899999999999999,"16/07/13",0.00869997906330905,53,179.0486,9.4327,0.0579598490388733,0.614456614107025,0.367208352996289,0.247248261110736,18
"phytoplankton",7,"A",1.25,"16/07/13",0.00869976712618772,42.6,128.2884,5.5888,0.0497860686217751,0.890818576828212,0.367208352996289,0.523610223831924,18
"phytoplankton",7,"A",1.79,"17/07/13",0.00870013182177696,50,179.4624,8.2499,0.0995693109680898,1.20691536828434,0.367208352996289,0.839707015288052,18
"phytoplankton",7,"A",2.11,"17/07/13",0.00870055193376343,43.4,167.2414,9.2445,0.110734318807149,1.19784000007734,0.367208352996289,0.830631647081049,18
"phytoplankton",7,"A",2.87,"18/07/13",0.00869910650514916,53.2,167.7735,7.9119,0.0862579843396967,1.09023097283455,0.367208352996289,0.723022619838261,18
"phytoplankton",7,"A",3.93,"19/07/13",0.00870101445605019,38.8,176.787,8.4518,0.085147881759799,1.00745263446602,0.367208352996289,0.64024428146973,18
"phytoplankton",7,"A",4.95,"20/07/13",0.00869904885166513,35.2,125.3328,6.1621,0.0587900785348204,0.954059144363455,0.367208352996289,0.586850791367166,18
"phytoplankton",7,"A",7.07,"22/07/13",0.0156567557009905,30.67,206.7954,11.6125,0.092418593114492,0.795854407875066,0.367208352996289,0.428646054878777,18
"phytoplankton",7,"A",12.03,"27/07/13",0.0156614844185806,26.83,199.4727,11.0138,0.0751265558995638,0.682112948297261,0.367208352996289,0.314904595300973,18
"phytoplankton",7,"A",16,"31/07/13",0.01044005684562,37.5,180.6155,9.4583,0.0570785872905372,0.603476177437142,0.367208352996289,0.236267824440853,18
