"sample","pond","treatment","day","date","sample_vol_L","biomass_mg_L","C_ug","N_ug","t15N_ug","N_atom_perc","preN_atom_perc","add15N_perc","dorset_pond"
"phytoplankton",2,"A",53.01,"06/09/13",0.114472341763898,1.14,65.2749,6.5659,0.027287895632388,0.415600231992385,0.367138318678134,0.0484619133142515,3
"zooplankton",2,"A",0.76,"16/07/13",3.99605823672288,0.058,118.165,23.354,0.0904067299921785,0.387114541372692,0.3683659304672,0.0187486109054917,3
"zooplankton",2,"A",1.26,"17/07/13",4.02298850574713,0.029,58.39,12.95,0.0514481420686887,0.397282950337365,0.3683659304672,0.0289170198701644,3
"zooplankton",2,"A",1.76,"17/07/13",1.96183620924633,0.1094,122.8,22.6,0.0978520637571504,0.432973733438719,0.3683659304672,0.0646078029715182,3
"zooplankton",2,"A",2.26,"18/07/13",3.94764629011233,0.0924,192.54,44.1,0.212314283936702,0.481438285570753,0.3683659304672,0.113072355103552,3
"zooplankton",2,"A",3.26,"19/07/13",3.99851338988689,0.0668,137.49,30.77,0.188788357768319,0.613546824076434,0.3683659304672,0.245180893609233,3
"zooplankton",2,"A",4.26,"20/07/13",4.00785765895954,0.1808,398.765,80.23,0.577125396284047,0.719338646745665,0.3683659304672,0.350972716278465,3
"zooplankton",2,"A",11.26,"27/07/13",2.25292289142974,0.2147,240.47,53.1,0.443284458803692,0.834810656880776,0.3683659304672,0.466444726413576,3
"zooplankton",2,"A",15.26,"31/07/13",2.81422971357487,0.1301,193.57,48.29,0.401588301315901,0.831617936044524,0.3683659304672,0.463252005577323,3
"zooplankton",2,"A",23.26,"08/08/13",3.97336862497877,0.0726,142.81,33.89,0.243821045232134,0.719448348280125,0.3683659304672,0.351082417812925,3
"zooplankton",2,"A",28.26,"13/08/13",4.00916766481494,0.0387,67.395,13.894,0.0674856670196225,0.485718058295829,0.3683659304672,0.117352127828629,3
"phytoplankton",3,"A",0.00999999999999979,"15/07/13",0.00870004576403876,39,121.9833,11.2353,0.0411484229250357,0.366242315959838,0.36723178290253,-0.000989466942691974,5
"phytoplankton",3,"A",0.83,"16/07/13",0.0104393703255723,33.67,129.0323,11.3666,0.0613827065559914,0.540026978656691,0.36723178290253,0.172795195754161,5
"phytoplankton",3,"A",1.19,"16/07/13",0.0104403784425184,38.17,118.0334,9.677,0.0827158972895288,0.854767978604204,0.36723178290253,0.487536195701674,5
"phytoplankton",3,"A",1.71,"17/07/13",0.0104398947739912,36.83,133.2302,11.1763,0.131010938286109,1.17222102382818,0.36723178290253,0.804989240925648,5
"phytoplankton",3,"A",2.06,"17/07/13",0.03132857854376,12.72,125.7835,12.4292,0.132473052214924,1.06582122916137,0.36723178290253,0.698589446258835,5
"phytoplankton",3,"A",2.8,"18/07/13",0.0104397572778035,41.17,158.0553,13.8943,0.151335200194197,1.08918909332746,0.36723178290253,0.72195731042493,5
"phytoplankton",3,"A",3.93,"19/07/13",0.0104387382347817,49.67,187.5696,15.281,0.163432973023883,1.06951752518737,0.36723178290253,0.702285742284843,5
"phytoplankton",3,"A",4.95,"20/07/13",0.0130511705560609,33.2,204.9759,19.274,0.199874225735516,1.03701476463379,0.36723178290253,0.669782981731256,5
"phytoplankton",3,"A",6.93,"22/07/13",0.013051172486194,31.2,173.039,18.6777,0.174962025551905,0.93674288350228,0.36723178290253,0.56951110059975,5
"phytoplankton",3,"A",11.79,"27/07/13",0.00869919368862286,46.2,140.8861,13.307,0.100579369698326,0.755838052891903,0.36723178290253,0.388606269989373,5
"phytoplankton",3,"A",15.86,"31/07/13",0.00870012673201891,57,129.0347,9.8993,0.0667155497084063,0.673942093970345,0.36723178290253,0.306710311067815,5
"phytoplankton",3,"A",23.69,"08/08/13",0.00521898677315557,63.67,104.9075,6.8027,0.0393660584767006,0.578682853524345,0.36723178290253,0.211451070621815,5
"phytoplankton",3,"A",28.82,"13/08/13",0.00783083688627876,59.33,172.6973,12.686,0.0689777597979642,0.543731355809271,0.36723178290253,0.176499572906741,5
"phytoplankton",3,"A",53.01,"06/09/13",0.00521945967310376,67.67,130.7731,9.9698,0.0460628355980418,0.462023667456135,0.36723178290253,0.094791884553605,5
"zooplankton",3,"A",0.26,"16/07/13",3.06991483462072,0.1107,182.62,38.13,0.140108652235223,0.367449914070871,0.367472314862957,-2.24007920858194e-05,5
"zooplankton",3,"A",0.76,"16/07/13",4.0072532510443,0.4282,1016.471,153.45,0.568989332443022,0.370797870604772,0.367472314862957,0.00332555574181465,5
"zooplankton",3,"A",1.26,"17/07/13",1.83648628748503,0.7614,801.117,133.9,0.501939057088634,0.37486113300122,0.367472314862957,0.00738881813826298,5
"zooplankton",3,"A",1.76,"17/07/13",2.69110879814253,0.4394,674.798,113.44,0.430219559652341,0.379248553995365,0.367472314862957,0.0117762391324075,5
"zooplankton",3,"A",2.26,"18/07/13",1.55813089854146,0.9225,866.1,125.72,0.48972503466255,0.389536298649817,0.367472314862957,0.0220639837868601,5
"zooplankton",3,"A",3.26,"19/07/13",3.99882372429947,0.2099,461.29,93.42,0.385692131604099,0.412858201246092,0.367472314862957,0.0453858863831352,5
"zooplankton",3,"A",4.26,"20/07/13",1.92326426734628,1.0706,1200.29,146.14,0.604537655866345,0.413670217508105,0.367472314862957,0.0461979026451482,5
"zooplankton",3,"A",6.26,"22/07/13",4.03348236498599,0.6024,1412.515,251.1,1.09559395347027,0.436317783142283,0.367472314862957,0.068845468279326,5
"zooplankton",3,"A",11.26,"27/07/13",2.33128868739729,0.4309,586.99,91.01,0.424019078669442,0.465903833281444,0.367472314862957,0.0984315184184869,5
"zooplankton",3,"A",15.26,"31/07/13",2.25877714978223,0.3982,502.4,81.04,0.40157042110717,0.495521250132243,0.367472314862957,0.128048935269286,5
"zooplankton",3,"A",23.26,"08/08/13",2.6562224729024,0.4875,730.31,141.92,0.720537957226972,0.507707128823965,0.367472314862957,0.140234813961008,5
"zooplankton",3,"A",28.26,"13/08/13",2.32104916659185,0.237,312.53,62.05,0.322792395238724,0.520213368636139,0.367472314862957,0.152741053773182,5
"zooplankton",3,"A",52.26,"06/09/13",4.00269747003415,0.0597,119.4,29.44,0.141379822751445,0.480230376193769,0.367472314862957,0.112758061330812,5
